,bhk,type,area,price,region
27310,1,Apartment,385,5279000.0,Mira Road East
27325,2,Apartment,925,18500000.0,Chembur
27341,1,Apartment,444,10000000.0,Powai
27342,2,Apartment,691,15600000.0,Powai
27343,1,Apartment,465,10500000.0,Powai
27344,2,Apartment,612,13799999.999999998,Powai
27346,2,Apartment,810,22000000.0,Wadala
27347,2,Apartment,615,15000000.0,Chembur
27364,1,Apartment,674,6000000.0,Mira Road East
27382,1,Apartment,687,12200000.0,Jogeshwari West
27383,2,Apartment,538,7500000.0,Mira Road East
27384,3,Apartment,739,10200000.0,Mira Road East
27385,2,Apartment,525,7492000.0,Mira Road East
27386,1,Apartment,424,5900000.0,Mira Road East
27395,3,Apartment,1200,14000000.0,Mira Road East
27399,2,Apartment,1020,9000000.0,Kamothe
27401,3,Apartment,1650,30000000.0,Goregaon West
27403,2,Apartment,1156,6000000.0,Panvel
27407,2,Apartment,1246,5800000.0,Panvel
27408,2,Apartment,900,6000000.0,Panvel
27409,2,Apartment,1000,4500000.0,Panvel
27411,1,Apartment,720,3900000.0,Panvel
27413,1,Apartment,720,3800000.0,Panvel
27424,2,Apartment,967,15500000.0,Jogeshwari West
27425,2,Apartment,1029,20500000.0,Jogeshwari West
27426,1,Apartment,725,10000000.0,Jogeshwari West
27428,2,Apartment,1150,24000000.0,Borivali West
27429,2,Apartment,1015,16000000.0,Andheri West
27434,1,Apartment,999,7300000.0,Mira Road East
27435,2,Apartment,1000,8700000.0,Mira Road East
27439,2,Apartment,1150,17500000.0,Malad East
27446,2,Apartment,1350,26900000.0,Goregaon East
27453,2,Apartment,1118,11000000.0,Kamothe
27454,2,Apartment,1200,9900000.0,Kamothe
27468,2,Apartment,1200,27000000.0,Deonar
27469,2,Apartment,1100,24500000.0,Powai
27475,2,Apartment,1245,12500000.0,Kharghar
27477,3,Apartment,1944,24500000.0,Kharghar
27478,2,Apartment,1147,13200000.0,Kharghar
27480,2,Apartment,1300,11500000.0,Kharghar
27481,2,Apartment,1285,9000000.0,Kharghar
27483,3,Apartment,1750,19200000.0,Kharghar
27485,2,Apartment,1250,11800000.0,Kharghar
27486,3,Apartment,1550,17500000.0,Kharghar
27489,3,Apartment,1750,17500000.0,Kharghar
27490,2,Apartment,1180,13500000.0,Kharghar
27492,2,Apartment,1215,12500000.0,Kharghar
27499,1,Apartment,650,2700000.0,Virar West
27500,2,Apartment,980,4800000.0,Virar
27501,2,Apartment,675,3000000.0,Virar
27502,1,Apartment,525,9800000.0,Kurla
27504,3,Apartment,1370,22500000.0,Jogeshwari West
27505,2,Apartment,848,14000000.0,Jogeshwari West
27507,1,Apartment,540,11000000.0,Andheri West
27508,3,Apartment,1523,33000000.0,Goregaon West
27510,2,Apartment,1030,15500000.0,Jogeshwari West
27511,3,Apartment,1539,22300000.0,Andheri East
27513,2,Apartment,1050,16000000.0,Sanpada
27514,3,Apartment,1233,39900000.0,Sewri
27515,2,Apartment,661,18000000.0,Kanjurmarg
27516,2,Apartment,661,17500000.0,Kanjurmarg
27518,3,Apartment,1113,32000000.0,Andheri East
27519,2,Apartment,742,22000000.0,Andheri East
27520,1,Apartment,451,14500000.0,Andheri East
27521,3,Apartment,1124,32500000.0,Andheri East
27522,3,Apartment,878,25500000.0,Andheri East
27523,2,Apartment,678,21400000.0,Andheri East
27524,2,Apartment,716,21800000.0,Andheri East
27534,2,Apartment,1555,31500000.0,Goregaon East
27537,2,Apartment,668,7800000.0,Mira Road East
27539,2,Apartment,668,7500000.0,Mira Road East
27545,2,Apartment,1026,9700000.0,Mira Road East
27549,2,Apartment,1000,15000000.0,Dahisar
27550,2,Apartment,1250,10500000.0,Kharghar
27551,2,Apartment,1150,8000000.0,Kharghar
27565,2,Apartment,1000,7500000.0,Mira Road East
27567,2,Apartment,652,20000000.0,Malad West
27568,3,Apartment,883,25000000.0,Malad West
27569,2,Apartment,1005,16500000.0,Jogeshwari West
27583,2,Apartment,715,16200000.000000002,Goregaon East
27584,2,Apartment,1700,63000000.0,Powai
27585,3,Apartment,1600,17500000.0,Thane West
27589,3,Apartment,1700,28500000.0,Borivali West
27590,1,Apartment,775,9500000.0,Borivali West
27591,1,Apartment,685,9600000.0,Borivali West
27603,3,Apartment,1170,13000000.0,Mira Road East
27604,3,Apartment,1308,11600000.0,Mira Road East
27610,6,Apartment,3780,34000000.0,Ulwe
27611,2,Apartment,1185,9500000.0,Ulwe
27612,2,Apartment,1053,8800000.0,Mira Road East
27624,3,Apartment,1200,26500000.0,Chembur
27625,1,Apartment,750,10000000.0,Chembur
27627,2,Apartment,905,5699000.0,Thane West
27628,2,Apartment,910,7000000.0,Thane West
27629,1,Apartment,540,13500000.0,Girgaon
27630,1,Apartment,475,2400000.0,Kalwa
27631,2,Apartment,1050,5300000.0,Dombivali
27632,1,Apartment,500,4500000.0,Ulwe
27633,1,Apartment,510,2300000.0,Naigaon East
27634,1,Apartment,550,4000000.0,Kalwa
27637,2,Studio Apartment,440,4300000.0,Seawoods
27638,1,Apartment,600,5500000.0,Dahisar
27640,2,Apartment,850,18000000.0,Chembur
27641,2,Apartment,670,24400000.0,Wadala
27642,2,Apartment,960,7650000.0,Thane West
27648,5,Apartment,3500,55000000.0,Malad East
27649,3,Apartment,2020,16000000.0,Panvel
27650,4,Apartment,2600,12500000.0,Panvel
27654,3,Apartment,1750,9800000.0,Panvel
27655,2,Apartment,1050,11500000.0,Kurla
27656,2,Apartment,900,14500000.0,Chembur
27657,4,Apartment,3900,56500000.0,Chembur
27658,3,Apartment,1309,25000000.0,Chembur
27678,2,Apartment,1200,17500000.0,Kandivali East
27687,1,Apartment,650,2300000.0,Karjat
27695,5,Apartment,4200,200000000.0,Lower Parel
27726,2,Apartment,1074,13500000.0,Mira Road East
27729,1,Apartment,545,5500000.0,Mira Road East
27737,2,Apartment,780,7700000.0,Mira Road East
27739,3,Apartment,1285,12000000.0,Mira Road East
27740,1,Apartment,630,5600000.0,Mira Road East
27744,1,Apartment,509,5400000.0,Mira Road East
27749,1,Apartment,520,5400000.0,Mira Road East
27751,2,Apartment,828,9300000.0,Mira Road East
27754,3,Apartment,1175,13100000.0,Mira Road East
27757,2,Apartment,845,7600000.0,Mira Road East
27758,2,Apartment,667,7800000.0,Mira Road East
27762,2,Apartment,792,9500000.0,Mira Road East
27768,2,Apartment,840,7600000.0,Mira Road East
27776,2,Apartment,890,9600000.0,Mira Road East
27781,1,Apartment,425,5500000.0,Bhayandar East
27785,1,Apartment,540,5200000.0,Bhayandar East
27786,1,Apartment,594,6800000.0,Mira Road East
27789,1,Apartment,513,5300000.0,Mira Road East
27790,1,Apartment,588,5500000.0,Mira Road East
27791,1,Apartment,624,6000000.0,Mira Road East
27792,1,Apartment,538,5500000.0,Mira Road East
27812,2,Apartment,845,9500000.0,Mira Road East
27823,2,Apartment,992,9800000.0,Mira Road East
27826,2,Apartment,608,7200000.0,Mira Road East
27827,2,Apartment,785,7600000.0,Mira Road East
27829,2,Apartment,840,7500000.0,Mira Road East
27841,2,Apartment,889,9600000.0,Mira Road East
27859,2,Apartment,775,7600000.0,Mira Road East
27860,3,Apartment,1179,13100000.0,Mira Road East
27871,2,Apartment,593,6800000.0,Mira Road East
27879,2,Apartment,621,9100000.0,Mira Road East
27883,2,Apartment,1074,13000000.0,Mira Road East
27886,2,Apartment,779,7700000.0,Mira Road East
27888,1,Apartment,548,5400000.0,Mira Road East
27892,2,Apartment,880,9600000.0,Mira Road East
27893,2,Apartment,624,6000000.0,Mira Road East
27895,2,Apartment,1078,13500000.0,Mira Road East
27918,1,Apartment,593,6800000.0,Mira Road East
27920,2,Apartment,631,8800000.0,Mira Road East
27921,3,Apartment,979,12000000.0,Mira Road East
27924,2,Apartment,785,7800000.0,Mira Road East
27926,2,Apartment,662,7800000.0,Mira Road East
27932,1,Apartment,592,6800000.0,Mira Road East
27938,1,Apartment,537,5500000.0,Mira Road East
27940,2,Apartment,667,7500000.0,Mira Road East
27944,2,Apartment,790,7700000.0,Mira Road East
27956,1,Apartment,623,6000000.0,Mira Road East
27964,2,Apartment,1080,13300000.0,Mira Road East
27965,2,Apartment,839,9400000.0,Mira Road East
27969,1,Apartment,507,5400000.0,Mira Road East
27970,1,Apartment,506,6900000.0,Mira Road East
27974,2,Apartment,538,5500000.0,Mira Road East
27988,1,Apartment,508,5400000.0,Mira Road East
